Experience,Category,Medium,Immersion Type,Hedonic–Eudaimonic Score (0–100),Description,Link
The Sketchbook Project (Brooklyn Art Library),Archive,Web Archive,Participatory; Visual,75,A digital library of thousands of contributed sketchbooks documenting personal expression.,https://brooklynartlibrary.org/home
Bear 71,Interactive Documentary,Web,Surveillance; Nonhuman,80,An interactive documentary told from the perspective of a monitored grizzly bear.,https://experiments.withgoogle.com/bear71
The Boat,Interactive Graphic Memoir,Web,"Scroll-Based, Audiovisual, Narrative",80,"A richly illustrated interactive memoir combining scrolling, sound, and motion to tell a refugee journey.",https://www.sbs.com.au/theboat/
"Bury Me, My Love (Web Demo)",Interactive Narrative,Web / Itch.io,"Messaging Interface, Choice-Based",80,"A narrative experience told through a simulated messaging app, where everyday interaction metaphors drive emotional engagement.",https://thepixelhunt.itch.io/bury-me-my-love
"Papers, Please",Game,PC Game,Systems; Bureaucratic,85,"A border inspection simulation that forces ethical tradeoffs between rules, empathy, and survival.",https://papersplea.se/
Kentucky Route Zero,Game,PC Game,Poetic; Atmospheric,85,"A surreal episodic journey through debt, labor, and care, told through poetic dialogue and liminal spaces.",https://kentuckyroutezero.com/
LHOHQ,Web Narrative,Website,ARG-like; Exploratory,85,"An uncanny, labyrinthine website presenting fragments of a fictional cult-like organization.",https://lhohq.info/
What Remains of Edith Finch,Game,PC Game,Vignette-Based; Memoir,85,"A series of interactive vignettes exploring family history, death, and memory.",httphttps://www.gog.com/en/game/what_remains_of_edith_finchs://edithfinch.com/
Hollow,Interactive Documentary,Web,Community; Data,85,"An interactive portrait of a rural community using interviews, data, and storytelling.",http://hollowdocumentary.com
The Fallen of World War II,Data Narrative,Web,Data Visualization,85,A data-driven documentary visualizing the scale and cost of WWII casualties.,https://www.youtube.com/watch?v=DwKPFT-RioU
PostSecret Digital Museum,Archive,Web Archive,Anonymous; Collective,85,A digital exhibition of anonymous secrets shared through postcards.,https://museum.postsecret.com/
The Fallen of World War II,Interactive Data Documentary,Web,"Data Visualization, Reflective",85,A data-driven interactive documentary that uses visualization and narration to convey the human cost of World War II.,https://vimeo.com/128373915
Depression Quest,Game,Browser/PC Game,Constraint; Empathy,90,An interactive fiction experience that communicates depression through limited and inaccessible choices.,https://sites.google.com/site/depressionquestgame/
"That Night, Steeped by Blood River",Game,PC Game,Symbolic; Abstract,90,A short experimental narrative that uses space and abstraction to convey emotional and symbolic meaning.,https://store.steampowered.com/app/414150/That_Night_Steeped_by_Blood_River/
ANATOMY,Web Art,PC/Web,Horror; Spatial,90,"A horror experience where a house becomes a metaphor for trauma, memory, and bodily invasion.",https://kittyhorrorshow.itch.io
Photopia,Interactive Fiction,Text IF,Linear; Emotional,90,A classic interactive fiction piece known for its emotional impact and narrative inevitability.,https://ifdb.org/viewgame?id=ju778uv5xaswnlpl
The Night Journey,Interactive Art,Web/PC,Spiritual; Abstract,90,A meditative interactive artwork inspired by spiritual texts and emotional states.,https://thenightjourney.com/
A Journal of Insomnia,Web Narrative,Web,Audio; Repetition,90,An audio-text experience conveying interior narrative through rhythm and sleeplessness.,https://collection.nfb.ca/interactive/a_journal_of_insomnia
The Museum of Broken Relationships (Digital),Archive,Web Archive,Archival; Empathic,95,"An online archive of objects and stories documenting personal loss, absence, and emotional memory.",https://brokenships.com
Pathologic Classic HD,Game,PC Game,Systems; Suffering,95,A punishing narrative game where survival and moral clarity are nearly impossible.,https://store.steampowered.com/app/384110/Pathologic_Classic_HD/
Howling Dogs,Interactive Fiction,Text IF,Repetition; Confinement,95,"An experimental IF about monotony, labor, and emotional erosion in a distant future.",https://en.wikipedia.org/wiki/Howling_Dogs
The Quipu Project,Interactive Documentary,Web,Oral History; Participatory,95,A participatory archive documenting testimonies of forced sterilization survivors in Peru.,https://xrafstar.monster/games/twine/howlingdogs/
